timestamp,input_path,output_txt,output_meta,pages,ocr_pages,ocr_mode,dpi,text_chars,ocr_chars,duration_sec,status,error
2025-12-23 12:21:50,RESEARCH\THEORETICAL PATHWAY TO FEDERAL RELEIEF.pdf,extracted_research\THEORETICAL PATHWAY TO FEDERAL RELEIEF.txt,extracted_research\THEORETICAL PATHWAY TO FEDERAL RELEIEF.json,6,0,auto,300,15343,0,0.01,ok,
2025-12-23 12:21:50,RESEARCH\vLex-Vincent--I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-s-1.pdf,extracted_research\vLex-Vincent--I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-s-1.txt,extracted_research\vLex-Vincent--I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-s-1.json,25,0,auto,300,76107,0,0.03,ok,
2025-12-23 12:21:50,RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf,extracted_research\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.txt,extracted_research\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.json,41,0,auto,300,93341,0,0.03,ok,
2025-12-23 12:21:50,RESEARCH\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-1.pdf,extracted_research\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-1.txt,extracted_research\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-1.json,21,0,auto,300,67741,0,0.02,ok,
2025-12-23 12:21:50,RESEARCH\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-6337074f-1.pdf,extracted_research\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-6337074f-1.txt,extracted_research\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-6337074f-1.json,21,0,auto,300,67741,0,0.02,ok,
2025-12-23 12:21:50,RESEARCH\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-791191ec-1.pdf,extracted_research\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-791191ec-1.txt,extracted_research\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-791191ec-1.json,21,0,auto,300,67741,0,0.02,ok,
2025-12-23 12:21:51,RESEARCH\vLex-Vincent--TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcou-1.pdf,extracted_research\vLex-Vincent--TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcou-1.txt,extracted_research\vLex-Vincent--TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcou-1.json,31,0,auto,300,94140,0,0.03,ok,
2025-12-23 12:21:51,RESEARCH\vLex-Vincent--The-court-s-order-did-not-fully-address-the-ongoing-nature-of-the-enterprise--the-risk-of-further-p-1.pdf,extracted_research\vLex-Vincent--The-court-s-order-did-not-fully-address-the-ongoing-nature-of-the-enterprise--the-risk-of-further-p-1.txt,extracted_research\vLex-Vincent--The-court-s-order-did-not-fully-address-the-ongoing-nature-of-the-enterprise--the-risk-of-further-p-1.json,17,0,auto,300,41466,0,0.02,ok,
2025-12-23 12:21:51,RESEARCH\vLex-Vincent--The-FAC-alleges-an-ongoing-enterprise--an-unfulfilled-objective--and-a-real-risk-of-further-predica-1.pdf,extracted_research\vLex-Vincent--The-FAC-alleges-an-ongoing-enterprise--an-unfulfilled-objective--and-a-real-risk-of-further-predica-1.txt,extracted_research\vLex-Vincent--The-FAC-alleges-an-ongoing-enterprise--an-unfulfilled-objective--and-a-real-risk-of-further-predica-1.json,21,0,auto,300,49935,0,0.02,ok,
2025-12-23 12:21:51,RESEARCH\vLex-Vincent--The-FAC-specifically-pleads-ongoing-communications--threats--and-a-continuing-enterprise-with-a-ris-1.pdf,extracted_research\vLex-Vincent--The-FAC-specifically-pleads-ongoing-communications--threats--and-a-continuing-enterprise-with-a-ris-1.txt,extracted_research\vLex-Vincent--The-FAC-specifically-pleads-ongoing-communications--threats--and-a-continuing-enterprise-with-a-ris-1.json,14,0,auto,300,31751,0,0.02,ok,
