citation,doc_count,total_hits,sample_source
18 U.S.C. ,162,1131,2025-06-10 | CASE DOCS\06.10.25 - Notice of Related Federal RICO Litigation-1.pdf | The Racketeer Influenced and Corrupt Organizations Act (RICO) is codified in 18 U.S.C.
18 U.S.C. 1961,154,1494,"2025-06-10 | CASE DOCS\06.10.25 - Notice of Related Federal RICO Litigation-1.pdf | associated in fact although not a legal entity"" (18 U.S.C.  1961(4)). In the instant matter, the"
18 U.S.C. 1962,151,1557,2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | COUNT 1: VIOLATION OF 18 U.S.C.  1962(c)
18 U.S.C. 1343,105,737,2025-06-10 | CASE DOCS\06.10.25 - Notice of Related Federal RICO Litigation-1.pdf | bank account to the stepfathers PayPal account - wire fraud (18 U.S.C.  1343).
18 U.S.C. 1964,97,735,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | including a reasonable attorney's fee .. . "" 18 U.S.C  1964. Plaintiff alleges to have a"
18 U.S.C. 1952,73,439,2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | VII. PREDICATE ACT- VIOLATION OF THE TRAVEL ACT (18 U.S.C.  1952)
Tex. Fam. Code 105.001,70,322,2025-03-20 | CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Requirements for Temporary Orders (Tex. Family Code  105.001)
Tex. R. Civ. P. 18a,64,649,2025-02-24 | CASE DOCS\02.24.25 - OBJECTION AND REQUEST FOR JUDICIAL NOTICE-1.pdf | 4. Coordinators Are Not Granted a Role Under TRCP 18a
18 U.S.C. 1341,64,364," | RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | 1343), mail fraud (18 U.S.C.  1341), and extortion under the Hobbs Act (18"
18 U.S.C. Sec,60,196," | RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | To sustain a conviction for wire fraud under 18 U.S.C. Sec. 1343, the"
Tex. Fam. Code 153.002,58,379,2017-02-25 | CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | child relationship. See Tex. Fam. Code 153.002 (mandating that [t]he best interest of the
Tex. Fam. Code Ann,58,205, | RESEARCH\allegations such as drug.pdf | See Tex. Fam. Code Ann.  161.001(2) (trial court's best-interest finding
Tex. Fam. Code 201.007,56,186,2025-03-20 | CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | SAPCR or divorce case. Tex. Fam. Code  201.007(a)(14)(C) expressly so provides. The
28 U.S.C. ,56,95,2025-03-06 | CASE DOCS\03.06.2025_UNOPPOSED MOTION TO DISMISS FOR LACK OF JURISDICTION-1.pdf | 1. Respondent removed this case to the United States District Court pursuant to 28 U.S.C.
28 U.S.C. 1331,55,166,2025-05-08 | CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | 28 U.S.C.  1331 because this case raises substantial federal questions involving violations of the
Tex. R. Civ. P. 18b,48,217,2025-04-08 | CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | mandatory recusal pursuant to Tex. R. Civ. P. 18b(b)(1) and 18b(b)(2) on the
28 U.S.C. 1391,47,138,2025-05-08 | CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | 2. Venue is proper in this Court under 28 U.S.C.  1391(b)(1) because the
18 U.S.C. 1965,39,145,"2025-09-03 | CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | civil RICO actions. Further, jurisdiction is established under 18 U.S.C.  1965, which"
Tex. Fam. Code 201.015,38,123,"2025-03-20 | CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | within the 3-working-day window (Tex. Fam. Code  201.015(a)). Therefore, the"
Tex. Fam. Code 85.001,35,110,2025-04-14 | CASE DOCS\04.14.25 - 02-25-00166-CV MANDAMUS-1.pdf | Tex. Fam. Code  85.001 ............................................................................... 15
